processors, message size, Time
2,1,1.64232
2,2,1.75375
2,4,1.54661
2,8,1.55622
2,16,1.6559
2,32,2.03767
2,64,1.73712
2,128,1.74809
2,256,1.50053
2,512,1.7599
2,1024,1.53569
2,2048,1.76915
2,4096,1.86741
2,8192,1.6068
2,16384,1.90703
2,32768,1.63906
2,65536,1.7758
2,131072,1.77582
2,262144,1.7829
2,524288,1.86417
2,1048576,1.83582
2,2097152,1.85554
2,4194304,1.74235
2,8388608,1.95418
2,16777216,2.29315
2,33554432,3.36184
2,67108864,4.72634
2,134217728,7.95295
2,268435456,14.3978
2,536870912,27.3614
2,1,1.66782
2,2,1.73801
2,4,1.8447
2,8,1.83583
2,16,1.83172
2,32,1.69081
2,64,1.85294
2,128,1.7146
2,256,1.61549
2,512,1.63457
2,1024,1.88192
2,2048,1.80064
2,4096,1.76042
2,8192,1.77667
2,16384,1.77939
2,32768,1.8007
2,65536,1.66629
2,131072,1.71351
2,262144,1.64312
2,524288,1.6414
2,1048576,2.00616
2,2097152,1.76005
2,4194304,1.89142
2,8388608,1.92799
2,16777216,2.12653
2,33554432,3.26623
2,67108864,4.81654
2,134217728,8.11759
2,268435456,14.9248
2,536870912,28.0868
2,1,1.84119
2,2,1.84083
2,4,1.8215
2,8,1.84513
2,16,1.75473
2,32,1.82747
2,64,1.83694
2,128,1.74075
2,256,1.85639
2,512,1.83543
2,1024,1.77818
2,2048,1.66578
2,4096,1.65141
2,8192,1.78664
2,16384,1.75397
2,32768,1.72971
2,65536,1.85278
2,131072,1.70613
2,262144,1.66633
2,524288,1.90045
2,1048576,1.80319
2,2097152,1.85233
2,4194304,1.7149
2,8388608,1.89167
2,16777216,2.02293
2,33554432,3.00875
2,67108864,4.6849
2,134217728,7.7453
2,268435456,14.1401
2,536870912,26.779
2,1,1.53119
2,2,1.64377
2,4,1.68232
2,8,1.81041
2,16,1.73241
2,32,1.74975
2,64,1.68979
2,128,1.66294
2,256,1.85542
2,512,1.85373
2,1024,1.62066
2,2048,1.71983
2,4096,1.63772
2,8192,1.82564
2,16384,1.71298
2,32768,1.82386
2,65536,1.77125
2,131072,1.64129
2,262144,1.70121
2,524288,1.65385
2,1048576,1.82789
2,2097152,1.85112
2,4194304,1.89979
2,8388608,1.86773
2,16777216,2.12934
2,33554432,3.2241
2,67108864,4.75152
2,134217728,7.91027
2,268435456,14.258
2,536870912,27.2625
2,1,1.80095
2,2,1.54316
2,4,1.65451
2,8,1.75456
2,16,1.67195
2,32,1.75228
2,64,1.75809
2,128,1.65466
2,256,1.5704
2,512,1.63515
2,1024,1.63668
2,2048,1.67542
2,4096,1.63436
2,8192,1.53931
2,16384,1.57314
2,32768,1.53225
2,65536,1.56048
2,131072,1.90687
2,262144,1.77304
2,524288,1.56043
2,1048576,1.57216
2,2097152,1.69746
2,4194304,1.65504
2,8388608,1.878
2,16777216,2.04369
2,33554432,3.17592
2,67108864,4.65491
2,134217728,7.81361
2,268435456,14.2797
2,536870912,26.2763
