processors, message size, Time
2,1,1.56198
2,2,1.65406
2,4,1.60458
2,8,1.65949
2,16,1.6515
2,32,1.65954
2,64,1.58185
2,128,1.65973
2,256,1.64486
2,512,1.65762
2,1024,1.63362
2,2048,1.89579
2,4096,1.65835
2,1,1.5812
2,2,1.70831
2,4,1.62037
2,8,1.61726
2,16,1.58693
2,32,1.92291
2,64,1.64991
2,128,1.70748
2,256,1.52651
2,512,1.54881
2,1024,1.61177
2,2048,1.89663
2,4096,1.79216
2,4096,1.64719
2,8192,1.63433
2,16384,1.59356
2,32768,1.72622
2,65536,1.58638
2,131072,1.62337
2,262144,1.80235
2,524288,1.78699
2,1048576,1.82133
2,1048576,1.61586
2,2097152,1.79684
2,4194304,1.73274
2,8388608,1.87071
2,16777216,2.11203
2,33554432,2.59401
2,1048576,1.87913
2,2097152,1.88919
2,4194304,1.90459
2,8388608,1.97786
2,16777216,2.14622
2,33554432,2.44997
2,67108864,3.41451
2,134217728,4.90076
2,268435456,8.3365
2,1048576,1.75943
2,2097152,1.49974
2,4194304,1.77729
2,8388608,1.62164
2,16777216,2.13188
2,33554432,2.32782
2,67108864,3.26757
2,134217728,5.02038
2,268435456,7.94008
2,1048576,1.5148
2,2097152,1.7575
2,4194304,1.68807
2,8388608,1.86354
2,16777216,2.03485
2,33554432,2.44696
2,67108864,3.15683
2,134217728,4.87664
2,268435456,9.63438
2,1048576,1.66324
2,2097152,1.87696
2,4194304,1.89199
2,8388608,1.86915
2,16777216,1.89025
2,33554432,2.30873
2,67108864,3.16829
2,134217728,4.84764
2,268435456,8.64275
2,1048576,1.68406
2,2097152,1.70807
2,4194304,1.65444
2,8388608,1.8247
2,16777216,2.02567
2,33554432,2.55974
2,67108864,3.4236
2,134217728,5.24968
2,268435456,8.56326
