processors, message size, Time
2,1,0.184895
2,2,0.165485
2,4,0.177368
2,8,0.181663
2,16,0.17588
2,32,0.237804
2,64,0.184081
2,128,0.184935
2,256,0.173975
2,512,0.174812
2,1024,0.184463
2,2048,0.167374
2,4096,0.14249
2,8192,0.17546
2,16384,0.169846
2,32768,0.183356
2,65536,0.273521
2,131072,0.323353
2,262144,0.429986
2,524288,0.672028
2,1048576,1.13323
2,2097152,2.08723
2,4194304,3.94042
2,8388608,7.58511
2,16777216,14.7211
2,33554432,68.7095
2,67108864,56.9578
2,134217728,113.806
2,268435456,227.66
4,1,0.498013
4,2,0.242525
4,4,0.249775
4,8,0.212348
4,16,0.245965
4,32,0.231334
4,64,0.239457
4,128,0.271173
4,256,0.240058
4,512,0.234947
4,1024,0.190892
4,2048,0.250514
4,4096,0.238311
4,8192,0.233786
4,16384,0.248037
4,32768,0.248877
4,65536,0.415633
4,131072,0.573766
4,262144,0.751226
4,524288,1.21259
4,1048576,2.13689
4,2097152,3.97789
4,4194304,7.78451
4,8388608,15.2138
4,16777216,29.3611
4,33554432,58.1357
4,67108864,115.533
4,134217728,255.513
4,268435456,678.054
8,1,0.384252
8,2,0.328207
8,4,0.446836
8,8,0.36169
8,16,0.380883
8,32,0.356651
8,64,0.380411
8,128,0.330862
8,256,0.365026
8,512,0.390449
8,1024,0.317513
8,2048,0.34923
8,4096,0.356349
8,8192,0.363811
8,16384,0.394866
8,32768,0.367279
8,65536,3.8958
8,131072,5.55225
8,262144,6.94419
8,524288,7.70142
8,1048576,10.196
8,2097152,14.4082
8,4194304,36.2038
8,8388608,67.6283
8,16777216,124.444
8,33554432,114.703
8,67108864,229.37
8,134217728,455.914
8,268435456,911.738
16,1,0.505471
16,2,0.40657
16,4,0.452262
16,8,0.502938
16,16,0.471604
16,32,0.443216
16,64,0.441853
16,128,0.438501
16,256,0.431147
16,512,0.499379
16,1024,0.439112
16,2048,0.48286
16,4096,0.443237
16,8192,0.457763
16,16384,0.528579
16,32768,0.549105
16,65536,1.11313
16,131072,1.87822
16,262144,2.45937
16,524288,4.37111
16,1048576,7.93151
16,2097152,15.4099
16,4194304,30.174
16,8388608,59.3072
16,16777216,116.299
16,33554432,230.173
16,67108864,459.432
16,134217728,915.084
16,268435456,1822.76
32,1,0.899725
32,2,0.968001
32,4,0.891205
32,8,0.951874
32,16,0.907347
32,32,0.900527
32,64,0.940009
32,128,2.73974
32,256,1.73507
32,512,0.931354
32,1024,1.03744
32,2048,0.792027
32,4096,2.25945
32,8192,1.16495
32,16384,3.84879
32,32768,0.601281
32,65536,2.43248
32,131072,3.24906
32,262144,4.85272
32,524288,8.52982
32,1048576,15.6806
32,2097152,31.8284
32,4194304,60.878
32,8388608,118.428
32,16777216,231.732
32,33554432,457.927
32,67108864,910.468
32,134217728,1816.36
32,268435456,3628.09
64,1,1.02807
64,2,1.01987
64,4,1.12794
64,8,1.04664
64,16,3.13386
64,32,1.03125
64,64,1.43167
64,128,1.1098
64,256,2.90074
64,512,1.08865
64,1024,1.08949
64,2048,2.35401
64,4096,2.43881
64,8192,1.74174
64,16384,1.12914
64,32768,1.52901
64,65536,3.94813
64,131072,5.56513
64,262144,9.33658
64,524288,16.2874
64,1048576,30.4925
64,2097152,59.5052
64,4194304,117.632
64,8388608,235.134
64,16777216,462.603
64,33554432,916.593
