processors, message size, Time
2,1,0.452844
2,2,0.158321
2,4,0.1672
2,8,0.17647
2,16,0.178508
2,32,0.17166
2,64,0.188202
2,128,0.14848
2,256,0.223942
2,512,0.203458
2,1024,0.182915
2,2048,0.191685
2,4096,0.162787
2,8192,0.164401
2,16384,0.167552
2,32768,0.166916
2,65536,0.200921
2,131072,0.263582
2,262144,0.331202
2,524288,0.431749
2,1048576,0.740104
2,2097152,1.14743
2,4194304,2.18916
2,8388608,4.22715
2,16777216,7.97505
2,33554432,16.3363
2,67108864,33.2029
2,134217728,61.1385
2,268435456,140.849
2,536870912,232.045
2,1073741824,530.522
4,1,0.390914
4,2,0.160326
4,4,0.202176
4,8,0.162752
4,16,0.157499
4,32,0.211824
4,64,0.199787
4,128,0.187292
4,256,0.183047
4,512,0.184588
4,1024,0.198784
4,2048,0.188694
4,4096,0.177933
4,8192,0.160926
4,16384,0.224142
4,32768,0.194232
4,65536,0.283944
4,131072,0.289014
4,262144,0.387657
4,524288,0.492901
4,1048576,0.855475
4,2097152,1.34442
4,4194304,2.27431
4,8388608,4.24099
4,16777216,8.29111
4,33554432,15.6648
4,67108864,32.0393
4,134217728,66.995
4,268435456,117.696
4,536870912,251.286
4,1073741824,504.485
8,1,0.425124
8,2,0.183867
8,4,0.20294
8,8,0.199342
8,16,0.187585
8,32,0.203074
8,64,0.203802
8,128,0.182232
8,256,0.194813
8,512,0.183944
8,1024,0.184434
8,2048,0.17336
8,4096,0.164509
8,8192,0.191288
8,16384,0.197724
8,32768,0.232309
8,65536,0.25508
8,131072,0.29753
8,262144,0.347449
8,524288,0.490818
8,1048576,0.84916
8,2097152,1.33852
8,4194304,2.27526
8,8388608,4.25005
8,16777216,8.16853
8,33554432,15.9743
8,67108864,30.0159
8,134217728,66.9622
8,268435456,124.257
8,536870912,248.755
8,1073741824,476.657
16,1,0.20772
16,2,0.202429
16,4,0.191586
16,8,0.205887
16,16,0.220907
16,32,0.190496
16,64,0.238866
16,128,0.208248
16,256,0.277493
16,512,0.202538
16,1024,0.265747
16,2048,0.213534
16,4096,0.269405
16,8192,0.228531
16,16384,0.209201
16,32768,0.240779
16,65536,0.262093
16,131072,0.449963
16,262144,1.29591
16,524288,0.568587
16,1048576,1.11442
16,2097152,2.19993
16,4194304,3.30582
16,8388608,6.125
16,16777216,11.5475
16,33554432,19.9188
16,67108864,40.2667
16,134217728,87.4003
16,268435456,176.185
16,536870912,354.972
16,1073741824,514.936
32,1,0.607459
32,2,0.322186
32,4,0.327605
32,8,0.329706
32,16,0.421227
32,32,0.459677
32,64,0.410409
32,128,0.305773
32,256,0.319184
32,512,0.307188
32,1024,0.346891
32,2048,0.520078
32,4096,0.310523
32,8192,0.23405
32,16384,0.342948
32,32768,0.337592
32,65536,0.391757
32,131072,0.672977
32,262144,0.522326
32,524288,0.6441
32,1048576,0.980674
32,2097152,10.4373
32,4194304,2.96556
32,8388608,4.51484
32,16777216,8.55508
32,33554432,16.196
32,67108864,34.6766
32,134217728,64.6675
32,268435456,128.763
32,536870912,255.593
32,1073741824,493.174
64,1,0.369494
64,2,0.336641
64,4,0.356715
64,8,0.351839
64,16,0.348637
64,32,0.369098
64,64,0.339531
64,128,0.380357
64,256,0.33728
64,512,0.78641
64,1024,0.398507
64,2048,0.353351
64,4096,0.369056
64,8192,0.37489
64,16384,0.384071
64,32768,0.403825
64,65536,0.688119
64,131072,1.02045
64,262144,1.89906
64,524288,3.20628
64,1048576,5.94645
64,2097152,10.5776
64,4194304,20.5722
64,8388608,38.6858
64,16777216,76.0435
64,33554432,164.292
64,67108864,308.385
64,134217728,601.043
64,268435456,1365.35
64,536870912,2663.97
